feature,missing_share
revenue_cagr_3yr,0.9698057133615026
ebit_margin,0.9641853506661545
roaa,0.9581404281988557
solvency_trend_3yr,0.8712775205709318
current_ratio,0.862250571133979
solvency_ratio,0.8554677233487658
