tier,n,confirmed,confirm_rate,cohort_base_rate,lift
PRIORITY,78,30,0.38461538461538464,0.03199420169807413,12.021409011700275
DISSOLUTION_RISK,5833,769,0.13183610492028117,0.03199420169807413,4.12062492336594
BEHAVIORAL_ANOMALY,1578,11,0.00697084917617237,0.03199420169807413,0.21787851567466912
LOW_CONCERN,21485,117,0.0054456597626250875,0.03199420169807413,0.17020770869719448
